iso3c,country,year,remit_gdp,rus_gdp_growth,rub_depr
KGZ,Kyrgyz Republic,2009,20.94,-7.8,24.47
KGZ,Kyrgyz Republic,2010,26.41,4.5,-4.41
KGZ,Kyrgyz Republic,2011,27.57,4.3,-3.31
KGZ,Kyrgyz Republic,2012,30.75,4.02,4.85
KGZ,Kyrgyz Republic,2013,31.06,1.76,3.19
KGZ,Kyrgyz Republic,2014,30.03,0.74,18.68
KGZ,Kyrgyz Republic,2015,25.27,-1.97,46.24
KGZ,Kyrgyz Republic,2016,29.28,0.19,9.57
KGZ,Kyrgyz Republic,2017,32.27,1.83,-13.93
KGZ,Kyrgyz Republic,2018,32.51,2.81,7.16
KGZ,Kyrgyz Republic,2019,28.79,2.2,3.25
KGZ,Kyrgyz Republic,2020,31.81,-2.65,10.77
KGZ,Kyrgyz Republic,2021,32.56,5.87,2.13
KGZ,Kyrgyz Republic,2022,26.58,-1.44,-7.28
TJK,Tajikistan,2009,31.44,-7.8,24.47
TJK,Tajikistan,2010,35.81,4.5,-4.41
TJK,Tajikistan,2011,41.74,4.3,-3.31
TJK,Tajikistan,2012,42.22,4.02,4.85
TJK,Tajikistan,2013,43.77,1.76,3.19
TJK,Tajikistan,2014,37.14,0.74,18.68
TJK,Tajikistan,2015,27.31,-1.97,46.24
TJK,Tajikistan,2016,26.71,0.19,9.57
TJK,Tajikistan,2017,29.68,1.83,-13.93
TJK,Tajikistan,2018,28.12,2.81,7.16
TJK,Tajikistan,2019,27.97,2.2,3.25
TJK,Tajikistan,2020,26.88,-2.65,10.77
TJK,Tajikistan,2021,32.69,5.87,2.13
TJK,Tajikistan,2022,49.9,-1.44,-7.28
TJK,Tajikistan,2023,37.84,4.08,21.8
TJK,Tajikistan,2024,47.89,4.34,8.32
UZB,Uzbekistan,2009,6.47,-7.8,24.47
UZB,Uzbekistan,2010,6.9,4.5,-4.41
UZB,Uzbekistan,2011,8.15,4.3,-3.31
UZB,Uzbekistan,2012,9.02,4.02,4.85
UZB,Uzbekistan,2013,8.8,1.76,3.19
UZB,Uzbekistan,2014,8.43,0.74,18.68
UZB,Uzbekistan,2015,5.62,-1.97,46.24
UZB,Uzbekistan,2016,6.73,0.19,9.57
UZB,Uzbekistan,2017,10.23,1.83,-13.93
UZB,Uzbekistan,2018,12.96,2.81,7.16
UZB,Uzbekistan,2019,12.7,2.2,3.25
UZB,Uzbekistan,2020,10.66,-2.65,10.77
UZB,Uzbekistan,2021,11.99,5.87,2.13
UZB,Uzbekistan,2022,17.22,-1.44,-7.28
UZB,Uzbekistan,2023,13.8,4.08,21.8
UZB,Uzbekistan,2024,14.42,4.34,8.32
